
@contest "2023 Romanian Collegiate Programming Contest (RCPC)"
@contlen 300
@problems 26
@teams 109
@submissions 1566
@p ,G. Minimize Sum,20,0
@p ,J. Parallelogram,20,0
@p ,A. Maximum Distance,20,0
@p ,C. Basketball,20,0
@p ,K. Blabla,20,0
@p ,B. The floor is lava!,20,0
@p ,E. Fiboxor,20,0
@p ,H. AI Thoughts,20,0
@p 	,I. KSumT,20,0
@p 
,D. Edenland,20,0
@p ,L. Dush,20,0
@p ,F. Suceava,20,0
@p 
,M. Dragons,20,0
@p ,G. Minimize Sum,20,0
@p ,J. Parallelogram,20,0
@p ,A. Maximum Distance,20,0
@p ,C. Basketball,20,0
@p ,K. Blabla,20,0
@p ,B. The floor is lava!,20,0
@p ,E. Fiboxor,20,0
@p ,H. AI Thoughts,20,0
@p ,I. KSumT,20,0
@p ,D. Edenland,20,0
@p ,L. Dush,20,0
@p ,F. Suceava,20,0
@p ,M. Dragons,20,0
@t 1,0,1,"User_1"
@t 2,0,1,"User_2"
@t 3,0,1,"User_3"
@t 4,0,1,"User_4"
@t 5,0,1,"User_5"
@t 6,0,1,"User_6"
@t 7,0,1,"User_7"
@t 8,0,1,"User_8"
@t 9,0,1,"User_9"
@t 10,0,1,"User_10"
@t 11,0,1,"User_11"
@t 12,0,1,"User_12"
@t 13,0,1,"User_13"
@t 14,0,1,"User_14"
@t 15,0,1,"User_15"
@t 16,0,1,"User_16"
@t 17,0,1,"User_17"
@t 18,0,1,"User_18"
@t 19,0,1,"User_19"
@t 20,0,1,"User_20"
@t 21,0,1,"User_21"
@t 22,0,1,"User_22"
@t 23,0,1,"User_23"
@t 24,0,1,"User_24"
@t 25,0,1,"User_25"
@t 26,0,1,"User_26"
@t 27,0,1,"User_27"
@t 28,0,1,"User_28"
@t 29,0,1,"User_29"
@t 30,0,1,"User_30"
@t 31,0,1,"User_31"
@t 32,0,1,"User_32"
@t 33,0,1,"User_33"
@t 34,0,1,"User_34"
@t 35,0,1,"User_35"
@t 36,0,1,"User_36"
@t 37,0,1,"User_37"
@t 38,0,1,"User_38"
@t 39,0,1,"User_39"
@t 40,0,1,"User_40"
@t 41,0,1,"User_41"
@t 42,0,1,"User_42"
@t 43,0,1,"User_43"
@t 44,0,1,"User_44"
@t 45,0,1,"User_45"
@t 46,0,1,"User_46"
@t 47,0,1,"User_47"
@t 48,0,1,"User_48"
@t 49,0,1,"User_49"
@t 50,0,1,"User_50"
@t 51,0,1,"User_51"
@t 52,0,1,"User_52"
@t 53,0,1,"User_53"
@t 54,0,1,"User_54"
@t 55,0,1,"User_55"
@t 56,0,1,"User_56"
@t 57,0,1,"User_57"
@t 58,0,1,"User_58"
@t 59,0,1,"User_59"
@t 60,0,1,"User_60"
@t 61,0,1,"User_61"
@t 62,0,1,"User_62"
@t 63,0,1,"User_63"
@t 64,0,1,"User_64"
@t 65,0,1,"User_65"
@t 66,0,1,"User_66"
@t 67,0,1,"User_67"
@t 68,0,1,"User_68"
@t 69,0,1,"User_69"
@t 70,0,1,"User_70"
@t 71,0,1,"User_71"
@t 72,0,1,"User_72"
@t 73,0,1,"User_73"
@t 74,0,1,"User_74"
@t 75,0,1,"User_75"
@t 76,0,1,"User_76"
@t 77,0,1,"User_77"
@t 78,0,1,"User_78"
@t 79,0,1,"User_79"
@t 80,0,1,"User_80"
@t 81,0,1,"User_81"
@t 82,0,1,"User_82"
@t 83,0,1,"User_83"
@t 84,0,1,"User_84"
@t 85,0,1,"User_85"
